background,body,earrings,face,gender,head,outfit,title,description,media,tags,rarity_score,rarity_rank
THE SUSHI WRAP,THE SUSHI WRAP,THE SUSHI WRAP,THE SUSHI WRAP,FEMALE,THE SUSHI WRAP,THE SUSHI WRAP,THE SUSHI WRAP,"The tech virtuoso within the Injective ecosystem, blending innovation and expertise like a master chef crafting exquisite dishes.",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE SUSHI WRAP.png,[],53.63641605922648,1.0
THE GORGO,THE GORGO,THE GORGO,THE GORGO,FEMALE,THE GORGO,THE GORGO,THE GORGO,"Yet you chose to gaze into the Gorgon's eye rather than seizing the opportunity you so desperately desired at the height of greed. Did you capitalise on the dip, Anon? If not, will you repeat the same mistake with the CoA mint?",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE GORGO.png,[],53.63641605922648,1.0
THE INJAI,THE INJAI,THE INJAI,THE INJAI,FEMALE,THE INJAI,THE INJAI,THE INJAI,The Oracle of the Injective ecosystem. Embodying the pinnacle of artificial intelligence within Injective.,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE INJAI.png,[],53.63641605922648,1.0
"JULIE, THE SLAYER","JULIE, THE SLAYER","JULIE, THE SLAYER","JULIE, THE SLAYER",FEMALE,"JULIE, THE SLAYER","JULIE, THE SLAYER","JULIE, THE SLAYER","Marketing genius and leader of Injective's brand growth, playing a key role in transforming Injective into a respected icon.","ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/JULIE, THE SLAYER.png",[],53.63641605922648,1.0
THE PRINCESS WARRIOR,THE PRINCESS WARRIOR,THE PRINCESS WARRIOR,THE PRINCESS WARRIOR,FEMALE,THE PRINCESS WARRIOR,THE PRINCESS WARRIOR,THE PRINCESS WARRIOR,A warrior dedicated to safeguarding her people.,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE PRINCESS WARRIOR.png,[],53.63641605922648,1.0
THE VIXEN,THE VIXEN,THE VIXEN,THE VIXEN,FEMALE,THE VIXEN,THE VIXEN,THE VIXEN,"The Vixen's trap. Engaging with the vixen often leads to mutual attraction, ideological clashes, and occasional alliances. The key is to never commit to the vixen, and to keep your focus on your journey toward individuation. DO NOT GET TRAPPED!",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE VIXEN.png,[],53.63641605922648,1.0
THE POKER KING,THE POKER KING,NONE,THE POKER KING,MALE,THE POKER KING,THE POKER KING,THE POKER KING,"The ultimate high roller on Injective. Known for his sharp instincts and unrivaled prowess, he turns every bet into a winning hand.",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE POKER KING.png,[],42.74536068961567,2.0
"CUBAN, THE SHARK","CUBAN, THE SHARK",NONE,"CUBAN, THE SHARK",MALE,"CUBAN, THE SHARK","CUBAN, THE SHARK","CUBAN, THE SHARK","Maverick investor of Injective. A fearless entrepreneur and advocate for the underdogs, embracing trailblazing technology.","ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/CUBAN, THE SHARK.png",[],42.74536068961567,2.0
THE WIZARD,THE WIZARD,NONE,THE WIZARD,MALE,THE WIZARD,THE WIZARD,THE WIZARD,"In the realm of Injective, where legends thrive, Dwells a wizard of myth, whose name is alive. Known as Andrew or Newlands, by day and by night, An ancient 'nINJa', a guardian of light.",ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE WIZARD.png,[],42.74536068961567,2.0
THE HERO,THE HERO,NONE,THE HERO,MALE,THE HERO,THE HERO,THE HERO,You must slay the hero within before the hero destroys you. How can you hope to save anyone if you have not yet saved yourself?,ipfs://QmNNKZm14nwDavtGvBPYjYnfGGyZ92XB8ucrtnwdDADxii/THE HERO.png,[],42.74536068961567,2.0
