title,description,background,face,body,weapon,head,necklace,media,tags,rarity_score,rarity_rank
Talis,It's time.,Nan,Nan,Talis,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Talis.png,[],38.91692475316784,1.0
Bart,It's time.,Nan,Nan,Bart,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Bart.png,[],38.91692475316784,1.0
ApolloDAO,It's time.,Nan,Nan,ApolloDAO,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/ApolloDAO.png,[],38.91692475316784,1.0
Black Panther,It's time.,Nan,Nan,Black Panther,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Black Panther.png,[],38.91692475316784,1.0
White What,It's time.,Nan,Nan,White What,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/White Whale.png,[],38.91692475316784,1.0
Dino,It's time.,Nan,Nan,Dino,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Dino11.png,[],38.91692475316784,1.0
Achilleas,It's time.,Nan,Nan,Achilleas,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Achilleas.png,[],38.91692475316784,1.0
Wavely,It's time.,Nan,Nan,Wavely,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Wavely.png,[],38.91692475316784,1.0
Andrew Tate,It's time.,Nan,Nan,Andrew Tate,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/ayayay.png,[],38.91692475316784,1.0
Ottoman,It's time.,Nan,Nan,Ottoman,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Turkish.png,[],38.91692475316784,1.0
Waifu,It's time.,Nan,Nan,Waifu,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Anime Girl.png,[],38.91692475316784,1.0
DGTLfren,It's time.,Nan,Nan,DGTLfren,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/DGTLfren.png,[],38.91692475316784,1.0
Astroport,It's time.,Nan,Nan,Astroport,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Astroport .png,[],38.91692475316784,1.0
Gumshoe,It's time.,Nan,Nan,Gumshoe,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Gummies.png,[],38.91692475316784,1.0
Step,It's time.,Nan,Nan,Step,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Step.png,[],38.91692475316784,1.0
WIZZ,It's time.,Nan,Nan,WIZZ,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/CryptoWizard.png,[],38.91692475316784,1.0
Kayo,It's time.,Nan,Nan,Kayo,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Kayo.png,[],38.91692475316784,1.0
Iryna,It's time.,Nan,Nan,Iryna,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Iryna.png,[],38.91692475316784,1.0
Kath,It's time.,Nan,Nan,Kath,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Kath.png,[],38.91692475316784,1.0
Ghost Ninja,It's time.,Nan,Nan,Ghost Ninja,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/gk1222.png,[],38.91692475316784,1.0
Jakey’s Dad,It's time.,Nan,Nan,Jakey’s Dad,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/Jakeys Dad.png,[],38.91692475316784,1.0
Puggies,It's time.,Nan,Nan,Puggies,Nan,Nan,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/PUggies.png,[],38.91692475316784,1.0
